음 식 명,에너지(kcal)
쌀밥,334.79999999999995
기타잡곡밥,302.362
콩밥,322.90000000000003
보리밥,316.1
돌솥밥,528.855
현미밥,351.35
흑미밥,318.0
감자밥,308.0
곤드레밥,506.8
김치볶음밥,656.98
주먹밥,209.56
볶음밥,687.744
일반비빔밥,702.996
전주비빔밥,662.192
삼선볶음밥,683.617
새우볶음밥,634.52
알밥,606.54
산채비빔밥 ,495.89000000000004
오므라이스,684.986
육회비빔밥,661.41
해물볶음밥,659.23
열무비빔밥,445.65999999999997
불고기덮밥,699.96
소고기국밥,331.71
송이덮밥,600.42
오징어덮밥,693.9799999999998
자장밥,729.6170000000001
잡채밥,851.54
잡탕밥,737.23
장어덮밥,671.7199999999999
제육덮밥,796.94
짬뽕밥,696.6878378
순대국밥,690.3500000000001
카레라이스,653.24
전주콩나물국밥,432.38
해물덮밥,837.976
회덮밥,697.996
소머리국밥,891.4300000000002
돼지국밥,811.4399999999999
하이라이스,477.6
김치김밥,377.26200000000006
농어초밥,414.78000000000003
문어초밥,377.97
새우초밥,395.54
새우튀김롤,572.016
샐러드김밥,422.434
광어초밥,471.6640000000001
소고기김밥,425.6660000000001
갈비삼각김밥,183.18
연어롤 ,518.58
연어초밥,451.029
유부초밥,463.21
장어초밥,486.34837000000005
참치김밥,401.224
참치마요삼각김밥,189.582
치즈김밥 ,462.2269
캘리포니아롤,468.16
한치초밥,389.96
일반김밥,348.87
간자장,807.7367999999999
굴짬뽕,640.774
기스면,645.6099999999999
김치라면,512.2552499999999
김치우동,512.712
김치말이국수,310.37699999999995
닭칼국수,643.097
들깨칼국수,442.32199999999995
떡라면,672.1799999999998
라면,509.32800000000003
막국수,566.886
메밀국수,588.6750000000001
물냉면,579.71
비빔국수,577.17
비빔냉면,594.3100000000001
삼선우동,692.2599999999999
삼선자장면,787.844
삼선짬뽕,629.1000000000001
수제비,622.148
쌀국수,321.33500000000004
열무김치국수,488.32399999999996
오일소스스파게티,626.5849999999999
일식우동,420.79300000000006
볶음우동,377.92
자장면,760.88275
잔치국수,564.2339999999999
짬뽕,650.3059999999999
짬뽕라면,633.34
쫄면,622.4189999999999
치즈라면,598.674
콩국수,623.5
